iteration,successor,predecessor,p_binary,p_mod_k
1,3,1,1,1
1,3,19,10011,4
1,3,307,100110011,2
2,1,3,11,3
2,1,51,110011,1
2,1,819,1100110011,4
2,19,15,1111,0
2,19,243,11110011,3
2,19,3891,111100110011,1
2,307,491,111101011,1
2,307,7859,1111010110011,4
2,307,125747,11110101100110011,2
3,51,163,10100011,3
3,51,2611,101000110011,1
3,51,41779,1010001100110011,4
3,819,655,1010001111,0
3,819,10483,10100011110011,3
3,819,167731,101000111100110011,1
3,243,97,1100001,2
3,243,1555,11000010011,0
3,243,24883,110000100110011,3
3,3891,12451,11000010100011,1
3,3891,199219,110000101000110011,4
3,3891,3187507,1100001010001100110011,2
3,491,1571,11000100011,1
3,491,25139,110001000110011,4
3,491,402227,1100010001100110011,2
3,7859,6287,1100010001111,2
3,7859,100595,11000100011110011,0
3,7859,1609523,110001000111100110011,3
3,125747,201195,110001000111101011,0
3,125747,3219123,1100010001111010110011,3
3,125747,51505971,11000100011110101100110011,1
