iteration,successor,predecessor,p_binary,p_mod_k
1,17,27,11011,2
1,17,435,110110011,0
1,17,6963,1101100110011,3
2,27,43,101011,3
2,27,691,1010110011,1
2,27,11059,10101100110011,4
2,6963,2785,101011100001,0
2,6963,44563,1010111000010011,3
2,6963,713011,10101110000100110011,1
3,43,17,10001,2
3,43,275,100010011,0
3,43,4403,1000100110011,3
3,691,2211,100010100011,1
3,691,35379,1000101000110011,4
3,691,566067,10001010001100110011,2
3,11059,8847,10001010001111,2
3,11059,141555,100010100011110011,0
3,11059,2264883,1000101000111100110011,3
3,44563,17825,100010110100001,0
3,44563,285203,1000101101000010011,3
3,44563,4563251,10001011010000100110011,1
3,713011,2281635,1000101101000010100011,0
3,713011,36506163,10001011010000101000110011,3
3,713011,584098611,100010110100001010001100110011,1
