iteration,successor,predecessor,p_binary,s_mod_k,alpha_i
1,1,1,1,0,1
1,1,3,11,0,2
1,1,7,111,0,3
2,3,5,101,0,1
2,3,11,1011,0,2
2,3,23,10111,0,3
2,7,13,1101,0,1
2,7,27,11011,0,2
2,7,55,110111,0,3
3,5,9,1001,0,1
3,5,19,10011,0,2
3,5,39,100111,0,3
3,11,21,10101,0,1
3,11,43,101011,0,2
3,11,87,1010111,0,3
3,23,45,101101,0,1
3,23,91,1011011,0,2
3,23,183,10110111,0,3
3,13,25,11001,0,1
3,13,51,110011,0,2
3,13,103,1100111,0,3
3,27,53,110101,0,1
3,27,107,1101011,0,2
3,27,215,11010111,0,3
3,55,109,1101101,0,1
3,55,219,11011011,0,2
3,55,439,110110111,0,3
